LeftTorque:936.692 ,RightTorque:1000.11
LeftTorque:-999.992 ,RightTorque:-911.827
LeftTorque:999.992 ,RightTorque:1000.13
LeftTorque:-999.989 ,RightTorque:-793.833
LeftTorque:936.922 ,RightTorque:1000.1
LeftTorque:-999.993 ,RightTorque:-1000.18
LeftTorque:999.991 ,RightTorque:1000.13
LeftTorque:-999.986 ,RightTorque:-644.672
LeftTorque:928.421 ,RightTorque:1000.09
LeftTorque:-999.993 ,RightTorque:-1000.17
LeftTorque:999.99 ,RightTorque:1000.12
LeftTorque:-999.992 ,RightTorque:-924.655
LeftTorque:963.759 ,RightTorque:1000.11
LeftTorque:-999.989 ,RightTorque:-789.175
LeftTorque:973.781 ,RightTorque:1000.11
LeftTorque:-999.993 ,RightTorque:-1000.17
LeftTorque:967.686 ,RightTorque:1000.11
LeftTorque:-999.987 ,RightTorque:-691.037
LeftTorque:962.828 ,RightTorque:1000.1
LeftTorque:-999.992 ,RightTorque:-1000.16
LeftTorque:983.932 ,RightTorque:1000.12
LeftTorque:-999.99 ,RightTorque:-880.899
LeftTorque:951.616 ,RightTorque:1000.1
LeftTorque:-999.99 ,RightTorque:-883.641
LeftTorque:999.989 ,RightTorque:1000.11
LeftTorque:-999.99 ,RightTorque:-883.207
LeftTorque:923.023 ,RightTorque:1000.09
LeftTorque:-999.99 ,RightTorque:-883.56
LeftTorque:999.989 ,RightTorque:1000.11
LeftTorque:-999.991 ,RightTorque:-889.012
LeftTorque:973.179 ,RightTorque:1000.11
LeftTorque:-999.99 ,RightTorque:-883.701
LeftTorque:969.612 ,RightTorque:1000.1
LeftTorque:-999.99 ,RightTorque:-895.208
LeftTorque:975.856 ,RightTorque:1000.11
LeftTorque:-999.99 ,RightTorque:-878.126
LeftTorque:965.317 ,RightTorque:1000.1
LeftTorque:-999.991 ,RightTorque:-911.609
LeftTorque:985.061 ,RightTorque:1000.11
LeftTorque:-999.99 ,RightTorque:-855.842
LeftTorque:950.464 ,RightTorque:1000.1
LeftTorque:-999.991 ,RightTorque:-957.645
LeftTorque:999.987 ,RightTorque:1000.11
LeftTorque:-999.989 ,RightTorque:-780.253
LeftTorque:937.054 ,RightTorque:1000.09
LeftTorque:-999.992 ,RightTorque:-1000.15
LeftTorque:999.987 ,RightTorque:1000.11
LeftTorque:-999.989 ,RightTorque:-809.203
LeftTorque:965.258 ,RightTorque:1000.1
LeftTorque:-999.992 ,RightTorque:-1000.14
LeftTorque:991.893 ,RightTorque:1000.11
LeftTorque:-999.989 ,RightTorque:-773.115
LeftTorque:942.362 ,RightTorque:1000.09
LeftTorque:-999.992 ,RightTorque:-1000.14
LeftTorque:999.986 ,RightTorque:1000.11
LeftTorque:-999.99 ,RightTorque:-847.615
LeftTorque:962.635 ,RightTorque:1000.09
LeftTorque:-999.992 ,RightTorque:-1000.14
LeftTorque:999.329 ,RightTorque:1000.11
LeftTorque:-999.988 ,RightTorque:-728.937
LeftTorque:931.081 ,RightTorque:1000.08
LeftTorque:-999.992 ,RightTorque:-1000.14
LeftTorque:999.986 ,RightTorque:1000.1
LeftTorque:-999.992 ,RightTorque:-949.602
LeftTorque:989.037 ,RightTorque:1000.1
LeftTorque:-999.99 ,RightTorque:-830.743
LeftTorque:954.831 ,RightTorque:1000.09
LeftTorque:-999.992 ,RightTorque:-1000.14
LeftTorque:999.985 ,RightTorque:1000.1
LeftTorque:-999.99 ,RightTorque:-786.049
LeftTorque:949.998 ,RightTorque:1000.08
LeftTorque:-999.992 ,RightTorque:-1000.13
LeftTorque:999.985 ,RightTorque:1000.1
LeftTorque:-999.991 ,RightTorque:-877.486
LeftTorque:963.016 ,RightTorque:1000.09
LeftTorque:-999.992 ,RightTorque:-972.387
LeftTorque:999.985 ,RightTorque:1000.1
LeftTorque:-999.99 ,RightTorque:-803.528
LeftTorque:942.957 ,RightTorque:1000.08
LeftTorque:-999.992 ,RightTorque:-1000.13
LeftTorque:999.985 ,RightTorque:1000.1
LeftTorque:-999.991 ,RightTorque:-866.897
LeftTorque:979.395 ,RightTorque:1000.09
LeftTorque:-999.992 ,RightTorque:-1000.12
LeftTorque:978.952 ,RightTorque:1000.09
LeftTorque:-999.99 ,RightTorque:-766.331
LeftTorque:978.25 ,RightTorque:1000.08
LeftTorque:-999.992 ,RightTorque:-1000.12
LeftTorque:977.649 ,RightTorque:1000.09
LeftTorque:-999.992 ,RightTorque:-955.361
